项目,列2,列3,办公设备及,列5
财务报表附注(续),,,,
,房屋及建筑物,运输工具,电子设备,合计
原值：,,,,
2023年1月1日,"10,822",87,"9,798","20,707"
本年增加,14,-,"570,584",
投资性房地产转入(见附注,,,,
四、12),233,-,-,233
转至投资性房地产(见附注,,,,
四、12),(39),-,-,(39)
在建工程转入(见附注四、,,,,
18d),31,-,-,31
本年减少,"(1,145)",,"(589,708)",
2023年12月31日,"10,947",82,"9,779","20,808"
累计折旧：,,,,
2023年1月1日,"3,520",76,"6,027","9,623"
本年增加(见附注四、44),"4,453",,"1,431","1,879"
投资性房地产转入(见附注,,,,
四、12),83,-,-,83
转至投资性房地产(见附注,,,,
四、12),(13),-,-,(13)
本年减少,"(1,145)",,"(460,579)",
2023年12月31日,"3,921",74,"6,998","10,993"
减值准备：,,,,
2023年1月1日,1,-,-,1
2023年12月31日(见附注四、,,,,
19),1,-,-,1
账面价值,,,,
2023年12月31日,"7,025",8,"2,781","9,814"
2023年1月1日,"7,301",11,"3,771","11,083"
